date,open,close,volume
2013-02-08,54.38,54.66,9584224
2013-02-11,54.65,54.75,6358524
2013-02-12,54.77,54.95,8758025
2013-02-13,55.08,54.96,5701775
2013-02-14,54.92,54.88,8564486
2013-02-15,55.05,55.61,17783635
2013-02-19,55.58,55.73,7780451
2013-02-20,55.62,54.6,8461042
2013-02-21,54.58,54.17,6802578
2013-02-22,54.39,54.25,7604629
2013-02-25,54.6,53.59,9831166
2013-02-26,53.81,53.9,6238418
2013-02-27,53.9,54.48,7244992
2013-02-28,54.54,54.59,6605615
2013-03-01,54.31,55.33,8314387
2013-03-04,55.16,55.8,6356424
2013-03-05,55.95,56.48,7068470
2013-03-06,56.53,56.36,5572562
2013-03-07,56.36,56.32,4814197
2013-03-08,56.56,57.39,8157710
2013-03-11,57.39,57.66,7155409
2013-03-12,57.52,57.11,7159414
2013-03-13,57.16,57.34,5209862
2013-03-14,57.35,57.75,5915351
2013-03-15,57.5,57.58,13796440
2013-03-18,57.08,56.83,5125876
2013-03-19,56.83,56.31,8883930
2013-03-20,56.59,56.94,6018271
2013-03-21,56.74,56.31,5168737
2013-03-22,56.65,56.78,5489554
2013-03-25,57.0,56.21,7881490
2013-03-26,56.41,56.63,4675601
2013-03-27,56.34,56.47,6392319
2013-03-28,56.59,56.8,6705892
2013-04-01,56.89,56.69,6728034
2013-04-02,57.04,57.46,6574424
2013-04-03,57.64,57.25,8102375
2013-04-04,57.28,57.59,6413435
2013-04-05,56.89,57.7,7042202
2013-04-08,57.83,58.82,9796152
2013-04-09,58.72,59.14,8864758
2013-04-10,59.37,60.11,8438296
2013-04-11,60.11,60.55,9241626
2013-04-12,60.29,60.55,8533853
2013-04-15,60.26,58.88,12027906
2013-04-16,59.26,60.75,10307479
2013-04-17,60.35,60.68,11531693
2013-04-18,60.64,59.99,9203177
2013-04-19,60.25,61.56,9488269
2013-04-22,61.59,62.01,6307788
2013-04-23,62.4,62.59,6261121
2013-04-24,62.71,61.94,7335400
2013-04-25,62.01,62.0,6683979
2013-04-26,62.06,61.87,7038566
2013-04-29,62.82,63.0,7205960
2013-04-30,62.93,62.84,8529501
2013-05-01,62.88,63.21,7468820
2013-05-02,63.4,63.88,5249288
2013-05-03,64.1801,64.8,9196237
2013-05-06,65.09,65.06,10232888
2013-05-07,65.44,66.07,14407218
2013-05-08,66.0,65.99,17802902
2013-05-09,65.7301,66.67,11324407
2013-05-10,66.69,67.2,8653958
2013-05-13,66.96,67.32,5194936
2013-05-14,67.43,67.47,9676356
2013-05-15,67.42,67.67,7925722
2013-05-16,67.62,66.47,8472812
2013-05-17,66.16,66.58,9161351
2013-05-20,66.58,66.12,5893353
2013-05-21,66.35,65.83,7359058
2013-05-22,65.76,65.57,8144063
2013-05-23,64.87,65.23,7517695
2013-05-24,64.75,65.49,8846052
2013-05-28,65.98,66.69,8279038
2013-05-29,66.37,66.26,6954404
2013-05-30,66.44,64.65,13052538
2013-05-31,64.57,63.08,11281989
2013-06-03,63.06,63.8,8706952
2013-06-04,63.93,64.35,8147696
